,precision,recall,f1-score,support
A1B1C1D1E2,0.5,1.0,0.6666666666666666,1.0
A5B5C5D5,0.0,0.0,0.0,1.0
A8B8C8D4,0.0,0.0,0.0,1.0
A3B3C3D3E1F1,0.0,0.0,0.0,1.0
A6B3C1,0.0,0.0,0.0,1.0
A2B2C1D1E2,0.0,0.0,0.0,1.0
A9B9C9,0.0,0.0,0.0,1.0
A4B5C1,0.0,0.0,0.0,1.0
A3B1C1D3,0.0,0.0,0.0,1.0
A16B16C14,0.0,0.0,0.0,1.0
A3B2C8,0.0,0.0,0.0,1.0
A5B1C1D1,0.0,0.0,0.0,1.0
A3B2C2D1,0.0,0.0,0.0,1.0
A3B3C1,1.0,1.0,1.0,1.0
A1B6C3,0.0,0.0,0.0,1.0
A14B7,0.25,1.0,0.4,1.0
A6B5C-1,0.0,0.0,0.0,1.0
A-1B1,0.0,0.0,0.0,1.0
A3B3C3D3E1,0.0,0.0,0.0,1.0
A6B7,0.0,0.0,0.0,1.0
A1B6C6D6,0.0,0.0,0.0,1.0
A4B8C8,0.0,0.0,0.0,1.0
A12B12C6D6E12,0.0,0.0,0.0,1.0
A7B1C1,0.0,0.0,0.0,1.0
A2B3,0.0,0.0,0.0,1.0
A60B-1C-1,0.0,0.0,0.0,1.0
A5B1,0.0,0.0,0.0,1.0
A3B3C3D9,0.0,0.0,0.0,1.0
A2B1C1D1E2,0.5,1.0,0.6666666666666666,1.0
A10B1C1,0.0,0.0,0.0,1.0
A1B16,0.0,0.0,0.0,1.0
A16B16C1D1E1,1.0,1.0,1.0,1.0
A6B1C3,0.0,0.0,0.0,1.0
A6B18,0.0,0.0,0.0,1.0
A-1B15C5D12E12,0.0,0.0,0.0,1.0
A1B4C1,0.0,0.0,0.0,1.0
A4B2C4D2E2F2,0.0,0.0,0.0,1.0
A2B1C2D2,0.0,0.0,0.0,1.0
A3B4,0.0,0.0,0.0,1.0
A16B16C16D16E1,0.0,0.0,0.0,1.0
A2B1C1D2E1,0.0,0.0,0.0,1.0
A1B3C3D1,0.5,1.0,0.6666666666666666,1.0
A10B10C5D5,0.0,0.0,0.0,1.0
A18B6,0.0,0.0,0.0,1.0
A3B5,0.0,0.0,0.0,1.0
A12B6,0.0,0.0,0.0,1.0
A18B18C6,0.0,0.0,0.0,1.0
A6B6C12D12E12,0.0,0.0,0.0,1.0
A2B2C1D2E1,0.0,0.0,0.0,1.0
A8B8C1D8E8,0.0,0.0,0.0,1.0
A-1B-1C6D6E12F12,0.0,0.0,0.0,1.0
A4B3C3,0.0,0.0,0.0,1.0
A1B10C1,0.0,0.0,0.0,1.0
A10B10,0.0,0.0,0.0,1.0
A3B4C3,0.0,0.0,0.0,1.0
A12B6C18D6E12F12,0.0,0.0,0.0,1.0
A20B20,0.0,0.0,0.0,1.0
A-1B-1C-1D-1E-1,0.0,0.0,0.0,1.0
A3B6C3,0.0,0.0,0.0,1.0
A12B18C6D6,0.0,0.0,0.0,1.0
A4B4C4D2E2,0.0,0.0,0.0,1.0
A1B8C8,0.0,0.0,0.0,1.0
A4B2C1,0.0,0.0,0.0,1.0
A15B15,0.0,0.0,0.0,1.0
A1B1C2D1,0.0,0.0,0.0,1.0
A5B12C3D5E3F6,0.0,0.0,0.0,1.0
accuracy,0.6491875923190547,,,0.0
