,precision,recall,f1-score,support
A20,0.0,0.0,0.0,3.0
A16,0.0,0.0,0.0,3.0
A3B3C3D3E3,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
A1B1C3,0.0,0.0,0.0,2.0
A3B6,0.0,0.0,0.0,2.0
A12B12C12,0.0,0.0,0.0,2.0
A1B2C2,0.0,0.0,0.0,2.0
A3B3C3D1,0.0,0.0,0.0,2.0
A2B2C4,0.0,0.0,0.0,2.0
A4B4C4D4E4,1.0,0.5,0.6666666666666666,2.0
A1B2C1D2,0.5,0.5,0.5,2.0
A6B3,0.0,0.0,0.0,2.0
A1B1C1D1E1F2,0.0,0.0,0.0,2.0
A6B12,0.5,0.5,0.5,2.0
A60B60,0.125,0.5,0.2,2.0
A7B1,1.0,0.5,0.6666666666666666,2.0
A2B3C2,0.0,0.0,0.0,2.0
A4B1C1,0.0,0.0,0.0,2.0
A1B1C12,0.0,0.0,0.0,2.0
A6B6,0.058823529411764705,0.5,0.10526315789473684,2.0
A1B1C2D2,0.25,0.5,0.3333333333333333,2.0
A2B5,1.0,1.0,1.0,2.0
A5B5,0.2,0.5,0.2857142857142857,2.0
A4B4C4D4E1,0.5,0.5,0.5,2.0
A1B2C2D1,0.0,0.0,0.0,2.0
A4B8,0.0,0.0,0.0,2.0
A1B3C1,0.0,0.0,0.0,2.0
A6B1C14,0.0,0.0,0.0,2.0
A3B3C8D7,0.0,0.0,0.0,1.0
A1B2C4D1E1,0.0,0.0,0.0,1.0
A6B6C6D6,0.0,0.0,0.0,1.0
A1B6,0.0,0.0,0.0,1.0
A12B6C6D6E12,0.0,0.0,0.0,1.0
A2B2C2D2E2F1,0.0,0.0,0.0,1.0
A-1B10,0.0,0.0,0.0,1.0
A3B9C2D1,0.0,0.0,0.0,1.0
A2B2C2D2E2F2,0.0,0.0,0.0,1.0
A-1B24,0.0,0.0,0.0,1.0
A3B6C6,0.0,0.0,0.0,1.0
A3B3C3D2,0.0,0.0,0.0,1.0
A9B3C3D3E3,0.0,0.0,0.0,1.0
A1B2C1D1E1F1,0.0,0.0,0.0,1.0
A1B3C3,0.0,0.0,0.0,1.0
A4B8C4,0.0,0.0,0.0,1.0
A18B16,0.0,0.0,0.0,1.0
A7B7C1,0.0,0.0,0.0,1.0
A-1B-1C-1D-1,0.0,0.0,0.0,1.0
A-1B12,0.0,0.0,0.0,1.0
A5B2C1,0.0,0.0,0.0,1.0
A2B1C1D1E1F4,0.0,0.0,0.0,1.0
A2B1C2D1E2,0.0,0.0,0.0,1.0
A1B1C1D2E1F2,1.0,1.0,1.0,1.0
A3B3C3D1E1,0.0,0.0,0.0,1.0
A10B1,0.5,1.0,0.6666666666666666,1.0
A7B2C1,0.0,0.0,0.0,1.0
A-1B3C6D3E3,0.0,0.0,0.0,1.0
A6B1C1,0.0,0.0,0.0,1.0
A2B2C3D3,0.0,0.0,0.0,1.0
A6B5,0.0,0.0,0.0,1.0
A1B2C1D1E1,0.0,0.0,0.0,1.0
A1B1C1D2E1F1,0.0,0.0,0.0,1.0
A1B1C2D1E1F2,0.0,0.0,0.0,1.0
A4B4C2D4,0.0,0.0,0.0,1.0
A60B-1,0.0,0.0,0.0,1.0
A3B4C4,0.0,0.0,0.0,1.0
A1B12C1D1E1,0.0,0.0,0.0,1.0
A3B5C3,0.0,0.0,0.0,1.0
A9B6,0.0,0.0,0.0,1.0
A2B2C2D3,0.0,0.0,0.0,1.0
A6B12C12D12E18F6,0.0,0.0,0.0,1.0
A11B11,0.0,0.0,0.0,1.0
A4B9,0.0,0.0,0.0,1.0
A2B2C3,0.0,0.0,0.0,1.0
A15,0.0,0.0,0.0,1.0
A5B8,0.0,0.0,0.0,1.0
A1B3C3D1E1,1.0,1.0,1.0,1.0
A18B24,0.0,0.0,0.0,1.0
A3B3C2D2,0.0,0.0,0.0,1.0
A4B6,0.0,0.0,0.0,1.0
A8B3,0.0,0.0,0.0,1.0
A1B1C1D1E2F1,0.0,0.0,0.0,1.0
A1B3C1D1,0.0,0.0,0.0,1.0
A12B2,0.0,0.0,0.0,1.0
A4B4C4D4E3,0.0,0.0,0.0,1.0
A3B3C2D1,0.0,0.0,0.0,1.0
A1B1C2D2E2,0.0,0.0,0.0,1.0
A3B2C2D2E2,0.0,0.0,0.0,1.0
A1B2C1D2E2,0.0,0.0,0.0,1.0
A180B180,0.5,1.0,0.6666666666666666,1.0
A16B14,0.0,0.0,0.0,1.0
A11B3C5,0.0,0.0,0.0,1.0
A1B1C1D1E2,0.5,1.0,0.6666666666666666,1.0
A5B5C5D5,0.0,0.0,0.0,1.0
A8B8C8D4,0.0,0.0,0.0,1.0
A3B3C3D3E1F1,0.0,0.0,0.0,1.0
A6B3C1,0.0,0.0,0.0,1.0
A2B2C1D1E2,0.0,0.0,0.0,1.0
A9B9C9,0.0,0.0,0.0,1.0
A4B5C1,0.0,0.0,0.0,1.0
A3B1C1D3,0.0,0.0,0.0,1.0
A16B16C14,0.0,0.0,0.0,1.0
A3B2C8,0.0,0.0,0.0,1.0
A5B1C1D1,0.0,0.0,0.0,1.0
A3B2C2D1,0.0,0.0,0.0,1.0
A3B3C1,0.125,1.0,0.2222222222222222,1.0
A1B6C3,0.0,0.0,0.0,1.0
A14B7,0.25,1.0,0.4,1.0
A6B5C-1,0.0,0.0,0.0,1.0
A-1B1,0.0,0.0,0.0,1.0
A3B3C3D3E1,0.0,0.0,0.0,1.0
A6B7,0.0,0.0,0.0,1.0
A1B6C6D6,0.0,0.0,0.0,1.0
A4B8C8,0.0,0.0,0.0,1.0
A12B12C6D6E12,0.0,0.0,0.0,1.0
A7B1C1,0.0,0.0,0.0,1.0
A2B3,0.0,0.0,0.0,1.0
A60B-1C-1,0.0,0.0,0.0,1.0
A5B1,0.0,0.0,0.0,1.0
A3B3C3D9,0.0,0.0,0.0,1.0
A2B1C1D1E2,0.0,0.0,0.0,1.0
A10B1C1,0.5,1.0,0.6666666666666666,1.0
A1B16,0.0,0.0,0.0,1.0
A16B16C1D1E1,1.0,1.0,1.0,1.0
A6B1C3,0.0,0.0,0.0,1.0
A6B18,1.0,1.0,1.0,1.0
A-1B15C5D12E12,0.0,0.0,0.0,1.0
A1B4C1,0.0,0.0,0.0,1.0
A4B2C4D2E2F2,0.0,0.0,0.0,1.0
A2B1C2D2,0.0,0.0,0.0,1.0
A3B4,0.0,0.0,0.0,1.0
A16B16C16D16E1,0.0,0.0,0.0,1.0
A2B1C1D2E1,0.0,0.0,0.0,1.0
A1B3C3D1,1.0,1.0,1.0,1.0
A10B10C5D5,0.0,0.0,0.0,1.0
A18B6,0.0,0.0,0.0,1.0
A3B5,0.0,0.0,0.0,1.0
A12B6,1.0,1.0,1.0,1.0
A18B18C6,0.0,0.0,0.0,1.0
A6B6C12D12E12,0.0,0.0,0.0,1.0
A2B2C1D2E1,0.0,0.0,0.0,1.0
A8B8C1D8E8,0.0,0.0,0.0,1.0
A-1B-1C6D6E12F12,0.0,0.0,0.0,1.0
A4B3C3,0.0,0.0,0.0,1.0
A1B10C1,0.5,1.0,0.6666666666666666,1.0
A10B10,0.0,0.0,0.0,1.0
A3B4C3,0.0,0.0,0.0,1.0
A12B6C18D6E12F12,0.0,0.0,0.0,1.0
A20B20,0.0,0.0,0.0,1.0
A-1B-1C-1D-1E-1,0.0,0.0,0.0,1.0
A3B6C3,0.0,0.0,0.0,1.0
A12B18C6D6,0.0,0.0,0.0,1.0
A4B4C4D2E2,0.0,0.0,0.0,1.0
A1B8C8,0.0,0.0,0.0,1.0
A4B2C1,0.0,0.0,0.0,1.0
A15B15,0.0,0.0,0.0,1.0
A1B1C2D1,0.0,0.0,0.0,1.0
A5B12C3D5E3F6,0.0,0.0,0.0,1.0
accuracy,0.6495568685376661,,,0.0
